input,expected,input_locale,comment
"I have eggs and butter","{""add"":[""butter"",""egg""],""rm"":[]}",en,Basic addition
"add some tomatoes please","{""add"":[""tomato""],""rm"":[]}",en,Polite request
"I bought chicken and rice","{""add"":[""chicken"",""rice""],""rm"":[]}",en,Past tense purchase
"remove the milk","{""add"":[],""rm"":[""milk""]}",en,Simple removal
"I'm out of bread","{""add"":[],""rm"":[""bread""]}",en,Idiomatic removal
"no more cheese left","{""add"":[],""rm"":[""cheese""]}",en,Depletion statement
"I have uh... some pasta and um... garlic","{""add"":[""garlic"",""pasta""],""rm"":[]}",en,Hesitation with fillers
"got bacon and onions from the store","{""add"":[""bacon"",""onion""],""rm"":[]}",en,Casual past tense
"ran out of olive oil","{""add"":[],""rm"":[""olive oil""]}",en,Compound ingredient removal
"add mushrooms tomatoes and cream","{""add"":[""cream"",""mushroom"",""tomato""],""rm"":[]}",en,Multiple items no punctuation
"I need to remove salt and pepper","{""add"":[],""rm"":[""pepper"",""salt""]}",en,Explicit removal intent
"just picked up some noodles","{""add"":[""noodle""],""rm"":[]}",en,Casual addition
"delete the honey","{""add"":[],""rm"":[""honey""]}",en,Delete verb
"I have like... maybe three eggs?","{""add"":[""egg""],""rm"":[]}",en,Uncertainty with quantity
"finished the garlic","{""add"":[],""rm"":[""garlic""]}",en,Completion verb
"add rice beans and corn","{""add"":[""bean"",""corn"",""rice""],""rm"":[]}",en,Multiple additions
"we're out of milk and butter","{""add"":[],""rm"":[""butter"",""milk""]}",en,Plural subject removal
"bought fresh basil and cilantro","{""add"":[""basil"",""cilantro""],""rm"":[]}",en,Fresh qualifier
"need to take out the old lettuce","{""add"":[],""rm"":[""lettuce""]}",en,Removal with qualifier
"j'ai des œufs et du fromage","{""add"":[""cheese"",""egg""],""rm"":[]}",fr,French input
"tengo pollo y arroz","{""add"":[""chicken"",""rice""],""rm"":[]}",es,Spanish input
"I have um potatoes carrots and uh onions","{""add"":[""carrot"",""onion"",""potato""],""rm"":[]}",en,Multiple fillers
"add fucking tomatoes already","{""add"":[""tomato""],""rm"":[]}",en,Rude/frustrated
"remove this shit bread it's moldy","{""add"":[],""rm"":[""bread""]}",en,Vulgar complaint
"I don't give a damn just add pasta","{""add"":[""pasta""],""rm"":[]}",en,Dismissive tone
"the milk is spoiled get rid of it","{""add"":[],""rm"":[""milk""]}",en,Reason for removal
"add chocolate chips cookies and candy","{""add"":[""candy"",""chocolate chip"",""cookie""],""rm"":[]}",en,Sweet items
"I have so much rice like tons of it","{""add"":[""rice""],""rm"":[]}",en,Abundance expression
"barely any salt left remove it","{""add"":[],""rm"":[""salt""]}",en,Low quantity removal
"purchased avocados bell peppers and spinach","{""add"":[""avocado"",""bell pepper"",""spinach""],""rm"":[]}",en,Formal purchased
"toss the expired yogurt","{""add"":[],""rm"":[""yogurt""]}",en,Expiration reason
"I got some weird stuff today saffron and turmeric","{""add"":[""saffron"",""turmeric""],""rm"":[]}",en,Self-commentary
"remove everything","{""add"":[],""rm"":[]}",en,Ambiguous command - no specific items
"add nothing","{""add"":[],""rm"":[]}",en,Null addition
"I have I think maybe possibly some flour","{""add"":[""flour""],""rm"":[]}",en,Multiple uncertainty markers
"used all the sugar up","{""add"":[],""rm"":[""sugar""]}",en,Depletion with 'up'
"add ground beef and pork chops","{""add"":[""ground beef"",""pork chop""],""rm"":[]}",en,Meat with descriptors
"no more fucking eggs jesus christ","{""add"":[],""rm"":[""egg""]}",en,Very frustrated removal
"I have pickles olives and capers","{""add"":[""caper"",""olive"",""pickle""],""rm"":[]}",en,Briny items
"the chicken went bad remove it","{""add"":[],""rm"":[""chicken""]}",en,Food safety removal
"add like a bunch of bananas","{""add"":[""banana""],""rm"":[]}",en,Quantity expression
"got lemons limes and oranges","{""add"":[""lemon"",""lime"",""orange""],""rm"":[]}",en,Citrus fruits
"delete soy sauce and fish sauce","{""add"":[],""rm"":[""fish sauce"",""soy sauce""]}",en,Asian condiments removal
"I have prosciutto pancetta and salami","{""add"":[""pancetta"",""prosciutto"",""salami""],""rm"":[]}",en,Italian meats
"ran out of toilet paper","{""add"":[],""rm"":[""toilet paper""]}",en,Non-food item
"add dog food and cat treats","{""add"":[""cat treat"",""dog food""],""rm"":[]}",en,Pet items
"remove the damn onions they make me cry","{""add"":[],""rm"":[""onion""]}",en,Emotional complaint
"I have literally nothing","{""add"":[],""rm"":[]}",en,Empty statement
"add ALL the vegetables","{""add"":[],""rm"":[]}",en,Vague non-specific
"so like I went to the store and got bread and also milk but then I remembered I needed eggs so I got those too","{""add"":[""bread"",""egg"",""milk""],""rm"":[]}",en,Long narrative
"wait no scratch that don't add anything","{""add"":[],""rm"":[]}",en,Retraction
"add apples remove oranges","{""add"":[""apple""],""rm"":[""orange""]}",en,Mixed add and remove
"I think I have paprika and cumin maybe","{""add"":[""cumin"",""paprika""],""rm"":[]}",en,Uncertain spices
"chuck the stale chips","{""add"":[],""rm"":[""chip""],""",en,British 'chuck' verb
"got sake mirin and rice vinegar","{""add"":[""mirin"",""rice vinegar"",""sake""],""rm"":[]}",en,Japanese ingredients
"nehmen Sie die Milch weg","{""add"":[],""rm"":[""milk""]}",de,German removal
"add quinoa couscous and bulgur","{""add"":[""bulgur"",""couscous"",""quinoa""],""rm"":[]}",en,Grains
"the yogurt's funky get it out","{""add"":[],""rm"":[""yogurt""]}",en,Colloquial bad smell
"I have cashews almonds and walnuts","{""add"":[""almond"",""cashew"",""walnut""],""rm"":[]}",en,Nuts plural to singular
"add coconut milk and coconut cream","{""add"":[""coconut cream"",""coconut milk""],""rm"":[]}",en,Similar compound items
"remove every single thing","{""add"":[],""rm"":[]}",en,Emphatic but vague
"I bought stuff","{""add"":[],""rm"":[]}",en,Too vague
"add thyme rosemary sage and oregano","{""add"":[""oregano"",""rosemary"",""sage"",""thyme""],""rm"":[]}",en,Herbs
"used the last of the ketchup","{""add"":[],""rm"":[""ketchup""]}",en,Last portion depletion
"I have ice cream cookies and cake like I'm having a party","{""add"":[""cake"",""cookie"",""ice cream""],""rm"":[]}",en,Context addition
"add vanilla extract and almond extract","{""add"":[""almond extract"",""vanilla extract""],""rm"":[]}",en,Extracts
"bin the rotten potatoes","{""add"":[],""rm"":[""potato""]}",en,British 'bin' verb
"I got serrano peppers jalapeños and habaneros","{""add"":[""habanero"",""jalapeño"",""serrano pepper""],""rm"":[]}",en,Peppers with accents
"no more batteries","{""add"":[],""rm"":[""battery""]}",en,Non-food singular test
"add heavy cream half and half and whole milk","{""add"":[""half and half"",""heavy cream"",""whole milk""],""rm"":[]}",en,Dairy products
"the bread's moldy the cheese is fuzzy remove both","{""add"":[],""rm"":[""bread"",""cheese""]}",en,Multiple reasons removal
"I have chickpeas lentils and black beans","{""add"":[""black bean"",""chickpea"",""lentil""],""rm"":[]}",en,Legumes
"add whatever the fuck you want I don't care","{""add"":[],""rm"":[]}",en,Hostile vague
"got maple syrup and agave nectar","{""add"":[""agave nectar"",""maple syrup""],""rm"":[]}",en,Sweeteners
"remove anchovies they're disgusting","{""add"":[],""rm"":[""anchovy""]}",en,Opinion-based removal
"I have literally so many eggs like way too many","{""add"":[""egg""],""rm"":[]}",en,Emphasis on quantity
"add sunflower seeds pumpkin seeds and chia seeds","{""add"":[""chia seed"",""pumpkin seed"",""sunflower seed""],""rm"":[]}",en,Seeds
"finished with the balsamic vinegar","{""add"":[],""rm"":[""balsamic vinegar""]}",en,Formal depletion
"tengo que añadir tomates","{""add"":[""tomato""],""rm"":[]}",es,Spanish add
"I have feta goat cheese and brie","{""add"":[""brie"",""feta"",""goat cheese""],""rm"":[]}",en,Fancy cheeses
"add worcestershire sauce and hot sauce","{""add"":[""hot sauce"",""worcestershire sauce""],""rm"":[]}",en,Sauces
"no more paper towels dammit","{""add"":[],""rm"":[""paper towel""]}",en,Frustrated non-food
"got red wine white wine and beer","{""add"":[""beer"",""red wine"",""white wine""],""rm"":[]}",en,Alcohol
"add flank steak sirloin and ribeye","{""add"":[""flank steak"",""ribeye"",""sirloin""],""rm"":[]}",en,Steak cuts
"the lettuce is wilted toss it","{""add"":[],""rm"":[""lettuce""]}",en,Quality-based removal
"I think maybe I have nutmeg and cinnamon possibly","{""add"":[""cinnamon"",""nutmeg""],""rm"":[]}",en,Spice uncertainty
"add peanut butter and jelly","{""add"":[""jelly"",""peanut butter""],""rm"":[]}",en,Classic combo
"remove all dairy products","{""add"":[],""rm"":[]}",en,Category removal - vague
"I have hoisin sauce oyster sauce and soy sauce","{""add"":[""hoisin sauce"",""oyster sauce"",""soy sauce""],""rm"":[]}",en,Asian sauces
"add asparagus Brussels sprouts and artichokes","{""add"":[""artichoke"",""asparagus"",""brussels sprout""],""rm"":[]}",en,Fancy vegetables
"we finished the sriracha","{""add"":[],""rm"":[""sriracha""]}",en,Plural subject depletion
"got cranberries blueberries and strawberries","{""add"":[""blueberry"",""cranberry"",""strawberry""],""rm"":[]}",en,Berries
"add breadcrumbs and panko","{""add"":[""breadcrumb"",""panko""],""rm"":[]}",en,Coating ingredients
"no más leche","{""add"":[],""rm"":[""milk""]}",es,Spanish no more
"I have umm... let me think... crackers and chips","{""add"":[""chip"",""cracker""],""rm"":[]}",en,Thinking pause
"add dijon mustard and yellow mustard","{""add"":[""dijon mustard"",""yellow mustard""],""rm"":[]}",en,Mustard types
"the bananas are black throw them out","{""add"":[],""rm"":[""banana""]}",en,Overripe removal
"got ginger garlic and shallots","{""add"":[""garlic"",""ginger"",""shallot""],""rm"":[]}",en,Aromatics
"add cornmeal cornstarch and corn flour","{""add"":[""corn flour"",""cornmeal"",""cornstarch""],""rm"":[]}",en,Corn products
"used up all the damn butter","{""add"":[],""rm"":[""butter""]}",en,Frustrated depletion
"I have green beans wax beans and kidney beans","{""add"":[""green bean"",""kidney bean"",""wax bean""],""rm"":[]}",en,Bean varieties
"add blackstrap molasses and honey","{""add"":[""blackstrap molasses"",""honey""],""rm"":[]}",en,Viscous sweeteners
"plus que de pain","{""add"":[],""rm"":[""bread""]}",fr,French no more
"got smoked salmon and tuna","{""add"":[""smoked salmon"",""tuna""],""rm"":[]}",en,Fish
"add pie crust and phyllo dough","{""add"":[""phyllo dough"",""pie crust""],""rm"":[]}",en,Dough types
"the meat smells off remove it","{""add"":[],""rm"":[]}",en,Vague meat removal
"I have radicchio arugula and endive","{""add"":[""arugula"",""endive"",""radicchio""],""rm"":[]}",en,Bitter greens
"add fucking everything on my list","{""add"":[],""rm"":[]}",en,Hostile vague command
"got zucchini squash eggplant","{""add"":[""eggplant"",""squash"",""zucchini""],""rm"":[]}",en,No conjunctions
"add brown sugar powdered sugar and granulated sugar","{""add"":[""brown sugar"",""granulated sugar"",""powdered sugar""],""rm"":[]}",en,Sugar types
"no more green onions scallions whatever you call them","{""add"":[],""rm"":[""green onion""]}",en,Synonym confusion
"I have kalamata olives and green olives","{""add"":[""green olive"",""kalamata olive""],""rm"":[]}",en,Olive types
"add tahini and hummus","{""add"":[""hummus"",""tahini""],""rm"":[]}",en,Chickpea products
"ran out of the cooking spray","{""add"":[],""rm"":[""cooking spray""]}",en,With article
"got lamb chops veal cutlets pork tenderloin","{""add"":[""lamb chop"",""pork tenderloin"",""veal cutlet""],""rm"":[]}",en,Expensive meats
"add Israeli couscous and regular couscous","{""add"":[""couscous"",""israeli couscous""],""rm"":[]}",en,Couscous types
"the jam is crystallized get rid of it","{""add"":[],""rm"":[""jam""]}",en,Texture issue removal
"I have literally just salt","{""add"":[""salt""],""rm"":[]}",en,Minimal inventory
"add wasabi ginger and ponzu","{""add"":[""ginger"",""ponzu"",""wasabi""],""rm"":[]}",en,Japanese condiments
"finished all the almond milk","{""add"":[],""rm"":[""almond milk""]}",en,Alternative milk
"got sweet potatoes red potatoes and russet potatoes","{""add"":[""red potato"",""russet potato"",""sweet potato""],""rm"":[]}",en,Potato varieties
"add dark chocolate and milk chocolate","{""add"":[""dark chocolate"",""milk chocolate""],""rm"":[]}",en,Chocolate types
"keine Eier mehr","{""add"":[],""rm"":[""egg""]}",de,German no more
"I have monterey jack cheddar and swiss","{""add"":[""cheddar"",""monterey jack"",""swiss""],""rm"":[]}",en,Cheese types
"add baby carrots and regular carrots","{""add"":[""baby carrot"",""carrot""],""rm"":[]}",en,Carrot sizes
"the celery is limp throw it away","{""add"":[],""rm"":[""celery""]}",en,Texture-based removal
"got cannellini beans navy beans great northern beans","{""add"":[""cannellini bean"",""great northern bean"",""navy bean""],""rm"":[]}",en,White bean varieties
"add pita bread naan and tortillas","{""add"":[""naan"",""pita bread"",""tortilla""],""rm"":[]}",en,Flatbreads
"we're completely out of coffee","{""add"":[],""rm"":[""coffee""]}",en,Emphasis on depletion
"I have grape tomatoes cherry tomatoes roma tomatoes","{""add"":[""cherry tomato"",""grape tomato"",""roma tomato""],""rm"":[]}",en,Tomato varieties
"add old bay and cajun seasoning","{""add"":[""cajun seasoning"",""old bay""],""rm"":[]}",en,Regional seasonings
"the cucumber is slimy gross remove it","{""add"":[],""rm"":[""cucumber""]}",en,Disgust reaction
"got salted butter and unsalted butter","{""add"":[""salted butter"",""unsalted butter""],""rm"":[]}",en,Butter types
"add whole wheat flour and all purpose flour","{""add"":[""all purpose flour"",""whole wheat flour""],""rm"":[]}",en,Flour types
"pas de beurre","{""add"":[],""rm"":[""butter""]}",fr,French no butter
"I have absolutely nothing in here","{""add"":[],""rm"":[]}",en,Empty fridge statement
"add fucking milk finally","{""add"":[""milk""],""rm"":[]}",en,Relieved profanity
"the strawberries have mold remove","{""add"":[],""rm"":[""strawberry""]}",en,Short removal command
"got portobello mushrooms shiitake cremini","{""add"":[""cremini"",""portobello mushroom"",""shiitake""],""rm"":[]}",en,Mushroom types
"add red bell pepper yellow bell pepper orange bell pepper","{""add"":[""orange bell pepper"",""red bell pepper"",""yellow bell pepper""],""rm"":[]}",en,Pepper colors
"we used everything up","{""add"":[],""rm"":[]}",en,Complete depletion vague
"I have jasmine rice basmati rice and brown rice","{""add"":[""basmati rice"",""brown rice"",""jasmine rice""],""rm"":[]}",en,Rice varieties
"add green lentils red lentils and yellow lentils","{""add"":[""green lentil"",""red lentil"",""yellow lentil""],""rm"":[]}",en,Lentil colors
"the cream cheese is hard as a rock remove it","{""add"":[],""rm"":[""cream cheese""]}",en,Metaphor removal
"got blood oranges navel oranges tangerines","{""add"":[""blood orange"",""navel orange"",""tangerine""],""rm"":[]}",en,Orange types
"add smoked paprika sweet paprika hot paprika","{""add"":[""hot paprika"",""smoked paprika"",""sweet paprika""],""rm"":[]}",en,Paprika types
"no tenemos aguacate","{""add"":[],""rm"":[""avocado""]}",es,Spanish we don't have
"I have like maybe half a lemon","{""add"":[""lemon""],""rm"":[]}",en,Partial quantity
"add chocolate sauce caramel sauce and strawberry sauce","{""add"":[""caramel sauce"",""chocolate sauce"",""strawberry sauce""],""rm"":[]}",en,Dessert sauces
"the parsley is wilted and brown remove","{""add"":[],""rm"":[""parsley""]}",en,Multiple quality issues
"got red cabbage and green cabbage","{""add"":[""green cabbage"",""red cabbage""],""rm"":[]}",en,Cabbage colors
"add pine nuts pecans hazelnuts macadamia nuts","{""add"":[""hazelnut"",""macadamia nut"",""pecan"",""pine nut""],""rm"":[]}",en,Fancy nuts
"we're fresh out of eggs sorry","{""add"":[],""rm"":[""egg""]}",en,Apologetic depletion
"I have canned tomatoes crushed tomatoes diced tomatoes","{""add"":[""canned tomato"",""crushed tomato"",""diced tomato""],""rm"":[]}",en,Tomato preparations
"add turkey bacon beef bacon and pork bacon","{""add"":[""beef bacon"",""pork bacon"",""turkey bacon""],""rm"":[]}",en,Bacon types
"the mayo separated it's gross remove it","{""add"":[],""rm"":[""mayo""]}",en,Separated emulsion
"got poblano peppers anaheim peppers and bell peppers","{""add"":[""anaheim pepper"",""bell pepper"",""poblano pepper""],""rm"":[]}",en,Pepper varieties
"add linguine fettuccine penne rigatoni","{""add"":[""fettuccine"",""linguine"",""penne"",""rigatoni""],""rm"":[]}",en,Pasta shapes
"keine Milch","{""add"":[],""rm"":[""milk""]}",de,German no milk
"I have regular mayo and vegan mayo","{""add"":[""mayo"",""vegan mayo""],""rm"":[]}",en,Mayo types
"add shredded cheese sliced cheese and cream cheese","{""add"":[""cream cheese"",""shredded cheese"",""sliced cheese""],""rm"":[]}",en,Cheese forms
"the cottage cheese smells funky toss it","{""add"":[],""rm"":[""cottage cheese""]}",en,Smell-based removal
"got vidalia onions red onions white onions and shallots","{""add"":[""red onion"",""shallot"",""vidalia onion"",""white onion""],""rm"":[]}",en,Onion varieties
"add bbq sauce teriyaki sauce and buffalo sauce","{""add"":[""bbq sauce"",""buffalo sauce"",""teriyaki sauce""],""rm"":[]}",en,Meat sauces
"we've totally run out of garlic","{""add"":[],""rm"":[""garlic""]}",en,Completely depleted
"I have white vinegar apple cider vinegar red wine vinegar","{""add"":[""apple cider vinegar"",""red wine vinegar"",""white vinegar""],""rm"":[]}",en,Vinegar types
"add instant coffee ground coffee and coffee beans","{""add"":[""coffee bean"",""ground coffee"",""instant coffee""],""rm"":[]}",en,Coffee forms
"the sour cream is moldy obviously remove it","{""add"":[],""rm"":[""sour cream""]}",en,Obvious removal
"got chicken thighs chicken breasts and chicken wings","{""add"":[""chicken breast"",""chicken thigh"",""chicken wing""],""rm"":[]}",en,Chicken cuts
"add jasmine tea green tea black tea","{""add"":[""black tea"",""green tea"",""jasmine tea""],""rm"":[]}",en,Tea varieties
"pas de poulet","{""add"":[],""rm"":[""chicken""]}",fr,French no chicken
"I have so fucking many cans of beans","{""add"":[""bean""],""rm"":[]}",en,Profane abundance
"add salsa verde and salsa roja","{""add"":[""salsa roja"",""salsa verde""],""rm"":[]}",en,Spanish salsas
"the raspberries are mushy get them out","{""add"":[],""rm"":[""raspberry""]}",en,Texture removal
"got beef broth chicken broth vegetable broth","{""add"":[""beef broth"",""chicken broth"",""vegetable broth""],""rm"":[]}",en,Broth types
"add pink salt black salt and sea salt","{""add"":[""black salt"",""pink salt"",""sea salt""],""rm"":[]}",en,Salt varieties
"we don't have any more onions whatsoever","{""add"":[],""rm"":[""onion""]}",en,Emphatic depletion
"I have like I don't know maybe some weird cheese","{""add"":[""cheese""],""rm"":[]}",en,Vague uncertain
"add sourdough bread wheat bread white bread","{""add"":[""sourdough bread"",""wheat bread"",""white bread""],""rm"":[]}",en,Bread types
"the ham is slimy and discolored remove immediately","{""add"":[],""rm"":[""ham""]}",en,Urgent food safety
"got dill pickle relish and sweet pickle relish","{""add"":[""dill pickle relish"",""sweet pickle relish""],""rm"":[]}",en,Relish types
"add frozen peas frozen corn and frozen carrots","{""add"":[""frozen carrot"",""frozen corn"",""frozen pea""],""rm"":[]}",en,Frozen vegetables
"no hay arroz","{""add"":[],""rm"":[""rice""]}",es,Spanish there is no
"I have reduced fat milk and skim milk","{""add"":[""reduced fat milk"",""skim milk""],""rm"":[]}",en,Milk fat levels
"add ranch dressing italian dressing caesar dressing","{""add"":[""caesar dressing"",""italian dressing"",""ranch dressing""],""rm"":[]}",en,Salad dressings
"the ground turkey went bad yesterday remove","{""add"":[],""rm"":[""ground turkey""]}",en,Dated removal
"got fingerling potatoes baby potatoes new potatoes","{""add"":[""baby potato"",""fingerling potato"",""new potato""],""rm"":[]}",en,Small potato types
"add baking soda baking powder and cream of tartar","{""add"":[""baking powder"",""baking soda"",""cream of tartar""],""rm"":[]}",en,Leavening agents